Link	LinkState	VOT	VOTFlow	TotalCostForThisVOT
79235	7923501	0.25	0.0	0.2025
79235	7923501	0.5	0.0	0.405
79235	7923501	0.166666667	0.0	0.13500000027
79235	7923501	0.416666667	0.0	0.33750000027
79235	7923501	0.333333333	0.0	0.26999999973000005
79237	7923701	0.25	0.0	0.058
79237	7923701	0.5	0.0	0.116
79237	7923701	0.166666667	0.0	0.038666666744
79237	7923701	0.416666667	0.0	0.096666666744
79237	7923701	0.333333333	0.0	0.077333333256
75397	7539701	0.25	5643.1811951219415	0.1344678622301227
75397	7539701	0.5	2.2464893292682993	0.2689357244602454
75397	7539701	0.166666667	2942.9010213414554	0.08964524166603893
75397	7539701	0.416666667	3.3697339939024387	0.22411310389616163
75397	7539701	0.333333333	11.232446646341463	0.17929048279420645
75399	7539901	0.25	5643.1811951219415	0.0424463103761325
75399	7539901	0.5	2.2464893292682993	0.084892620752265
75399	7539901	0.166666667	2942.9010213414554	0.02829754030735008
75399	7539901	0.416666667	3.3697339939024387	0.07074385068348259
75399	7539901	0.333333333	11.232446646341463	0.05659508044491492
79497	7949701	0.25	15.989237804878092	0.12424469809080207
79497	7949701	0.5	2616.2390358231705	0.18433739618160414
79497	7949701	0.166666667	0.0	0.10421379880732498
79497	7949701	0.416666667	2614.2403810975597	0.16430649689812704
79497	7949701	0.333333333	4389.941248475615	0.14427559737427917
79499	7949901	0.25	0.07310975609756114	0.09857150013282971
79499	7949901	0.5	0.0	0.19714300026565942
79499	7949901	0.166666667	47.92344512195119	0.06571433355331514
79499	7949901	0.416666667	0.0	0.16428583368614486
79499	7949901	0.333333333	0.0	0.1314286667123443
79498	7949801	0.25	95.84689024390238	0.028000002537004
79498	7949801	0.5	23.979999999999993	0.056000005074008
79498	7949801	0.166666667	0.03655487804878057	0.018666668395336
79498	7949801	0.416666667	23.979999999999993	0.046666670932340004
79498	7949801	0.333333333	47.95999999999999	0.037333336678671995
79245	7924501	0.25	10230.329914634154	0.18772355626949414
79245	7924501	0.5	3.9973094512195204	0.37544711253898827
79245	7924501	0.166666667	5236.475381097559	0.12514903776329417
79245	7924501	0.416666667	6.871374237804878	0.3128725940327883
79245	7924501	0.333333333	153.04887652439	0.2502980747756941
79500	7950001	0.25	7.994618902439041	0.10875000000015411
79500	7950001	0.5	0.0	0.21750000000030822
79500	7950001	0.166666667	7.994618902439046	0.07250000014510274
79500	7950001	0.416666667	0.0	0.18125000014525686
79500	7950001	0.333333333	0.0	0.14499999985520548
79246	7924601	0.25	0.0	0.015
79246	7924601	0.5	0.0	0.03
79246	7924601	0.166666667	0.0	0.010000000019999998
79246	7924601	0.416666667	0.0	0.02500000002
79246	7924601	0.333333333	0.0	0.01999999998
75409	7540901	0.25	0.0	0.19875
75409	7540901	0.5	0.0	0.3975
75409	7540901	0.166666667	0.0	0.132500000265
75409	7540901	0.416666667	0.0	0.331250000265
75409	7540901	0.333333333	0.0	0.26499999973500005
90001	9000101	0.25	95.91999999999997	0.0
90001	9000101	0.5	23.979999999999993	0.0
90001	9000101	0.166666667	47.95999999999999	0.0
90001	9000101	0.416666667	23.979999999999993	0.0
90001	9000101	0.333333333	47.95999999999999	0.0
75411	7541101	0.25	4587.148719512184	0.13595218871861262
75411	7541101	0.5	1.7508201219512196	0.27190437743722523
75411	7541101	0.166666667	2293.574359756092	0.09063479266034466
75411	7541101	0.416666667	3.501640243902439	0.22658698137895728
75411	7541101	0.333333333	141.81642987804855	0.18126958477688057
90003	9000301	0.25	0.0	0.0
90003	9000301	0.5	0.0	0.0
90003	9000301	0.166666667	0.0	0.0
90003	9000301	0.416666667	0.0	0.0
90003	9000301	0.333333333	0.0	0.0
90002	9000201	0.25	0.0	0.0
90002	9000201	0.5	2636.1668940548757	0.0
90002	9000201	0.166666667	0.0	0.0
90002	9000201	0.416666667	0.018277439024390284	0.0
90002	9000201	0.333333333	0.0	0.0
79509	7950901	0.25	0.0	0.12428575
79509	7950901	0.5	0.0	0.2485715
79509	7950901	0.166666667	0.0	0.082857166832381
79509	7950901	0.416666667	0.0	0.207142916832381
79509	7950901	0.333333333	0.0	0.165714333167619
90005	9000501	0.25	10584.859999999993	0.0
90005	9000501	0.5	2646.2149999999983	0.0
90005	9000501	0.166666667	5292.429999999997	0.0
90005	9000501	0.416666667	2646.2149999999983	0.0
90005	9000501	0.333333333	5292.429999999997	0.0
75412	7541201	0.25	5643.1811951219415	0.0542781891530736
75412	7541201	0.5	2.2464893292682993	0.1085563783061472
75412	7541201	0.166666667	2942.9010213414554	0.036185459507753315
75412	7541201	0.416666667	3.3697339939024387	0.09046364866082691
75412	7541201	0.333333333	11.232446646341463	0.07237091879839389
90004	9000401	0.25	10584.859999999993	0.0
90004	9000401	0.5	10.04810594512195	0.0
90004	9000401	0.166666667	5292.429999999997	0.0
90004	9000401	0.416666667	2646.1967225609706	0.0
90004	9000401	0.333333333	5292.429999999997	0.0
79511	7951101	0.25	10584.859999999993	0.11248165807859836
79511	7951101	0.5	10.04810594512195	0.22496331615719672
79511	7951101	0.166666667	5292.429999999997	0.07498777220237444
79511	7951101	0.416666667	2646.1967225609706	0.18746943028097282
79511	7951101	0.333333333	5292.429999999997	0.14997554395482227
79510	7951001	0.25	0.0	0.2948772910593862
79510	7951001	0.5	2636.1668940548757	0.4349055821187725
79510	7951001	0.166666667	0.0	0.24820119422629522
79510	7951001	0.416666667	0.018277439024390284	0.38822948528568146
79510	7951001	0.333333333	0.0	0.34155338789247724
79899	7989901	0.25	4587.148719512184	0.036047840391778864
79899	7989901	0.5	1.7508201219512196	0.07209568078355773
79899	7989901	0.166666667	2293.574359756092	0.024031893642583027
79899	7989901	0.416666667	3.501640243902439	0.06007973403436189
79899	7989901	0.333333333	141.81642987804855	0.0480637871409747
79515	7951501	0.25	111.83612804878057	0.061314217402543086
79515	7951501	0.5	4.052141768292684	0.12262843480508617
79515	7951501	0.166666667	0.03655487804878057	0.04087614501678101
79515	7951501	0.416666667	2638.202103658534	0.1021903624193241
79515	7951501	0.333333333	4437.901248475607	0.08175228978830516
79258	7925801	0.25	10230.329914634154	0.07379218648447954
79258	7925801	0.5	3.9973094512195204	0.14758437296895907
79258	7925801	0.166666667	5236.475381097559	0.0491947910880426
79258	7925801	0.416666667	6.871374237804878	0.12298697757252214
79258	7925801	0.333333333	153.04887652439	0.09838958188091647
79517	7951701	0.25	0.0	0.08181825000000724
79517	7951701	0.5	0.0	0.16363650000001448
79517	7951701	0.166666667	3.997309451219523	0.054545500109095826
79517	7951701	0.416666667	0.0	0.13636375010910307
79517	7951701	0.333333333	0.0	0.10909099989091865
79901	7990101	0.25	5643.1811951219415	0.03022268907609862
79901	7990101	0.5	2.2464893292682993	0.06044537815219724
79901	7990101	0.166666667	2942.9010213414554	0.020148459424362664
79901	7990101	0.416666667	3.3697339939024387	0.05037114850046129
79901	7990101	0.333333333	11.232446646341463	0.04029691872783458
79900	7990001	0.25	7.003280487804878	0.059533081397747184
79900	7990001	0.5	1146.787179878046	0.11906616279549437
79900	7990001	0.166666667	3.501640243902439	0.0396887210112089
79900	7990001	0.416666667	1145.0363597560965	0.09922180240895608
79900	7990001	0.333333333	2155.259570121952	0.07937744178428548
79260	7926001	0.25	258.61008536585393	0.019537279196021454
79260	7926001	0.5	3.997309451219523	0.03907455839204291
79260	7926001	0.166666667	7.994618902439046	0.01302485282339734
79260	7926001	0.416666667	1813.903080792685	0.032562132019418794
79260	7926001	0.333333333	5087.42381402439	0.026049705568645568
79516	7951601	0.25	0.0	0.08571425
79516	7951601	0.5	0.0	0.1714285
79516	7951601	0.166666667	0.0	0.057142833447619
79516	7951601	0.416666667	0.0	0.142857083447619
79516	7951601	0.333333333	0.0	0.11428566655238101
79903	7990301	0.25	251.60680487804927	0.10728858897419642
79903	7990301	0.5	1471.4505106707277	0.21457717794839284
79903	7990301	0.166666667	4.4929786585365985	0.07152572612584907
79903	7990301	0.416666667	1470.3272660060982	0.17881431510004547
79903	7990301	0.333333333	2936.1615533536606	0.14305145182254378
79519	7951901	0.25	0.0	0.06428575000000084
79519	7951901	0.5	0.0	0.12857150000000167
79519	7951901	0.166666667	3.997309451219523	0.042857166752381555
79519	7951901	0.416666667	0.0	0.10714291675238238
79519	7951901	0.333333333	0.0	0.08571433324762012
79902	7990201	0.25	258.61008536585393	0.2690101923675168
79902	7990201	0.5	2618.2376905487795	0.5380203847350336
79902	7990201	0.166666667	7.994618902439046	0.17934012860369142
79902	7990201	0.416666667	2615.363625762192	0.4483503209712082
79902	7990201	0.333333333	5091.421123475609	0.35868025613134213
79518	7951801	0.25	10473.023871951222	0.08564279092256868
79518	7951801	0.5	5.995964176829277	0.17128558184513737
79518	7951801	0.166666667	5288.396135670721	0.05709519406256951
79518	7951801	0.416666667	7.994618902439041	0.1427379849851382
79518	7951801	0.333333333	854.5287515243897	0.11419038778256786
79264	7926401	0.25	258.61008536585393	0.07769029163641553
79264	7926401	0.5	3.997309451219523	0.15538058327283105
79264	7926401	0.166666667	7.994618902439046	0.051793527861197404
79264	7926401	0.416666667	1813.903080792685	0.12948381949761292
79264	7926401	0.333333333	5087.42381402439	0.10358705541163366
79269	7926901	0.25	0.0	0.0975
79269	7926901	0.5	0.0	0.195
79269	7926901	0.166666667	0.0	0.06500000013
79269	7926901	0.416666667	0.0	0.16250000013
79269	7926901	0.333333333	0.0	0.12999999987000002
79525	7952501	0.25	10584.859999999993	0.04379202465622606
79525	7952501	0.5	10.04810594512195	0.08758404931245212
79525	7952501	0.166666667	5288.432690548767	0.02919468316254007
79525	7952501	0.416666667	2646.1967225609706	0.07298670781876612
79525	7952501	0.333333333	5292.429999999997	0.058389366149912046
79268	7926801	0.25	0.0	0.10875
79268	7926801	0.5	0.0	0.2175
79268	7926801	0.166666667	0.0	0.072500000145
79268	7926801	0.416666667	0.0	0.181250000145
79268	7926801	0.333333333	0.0	0.144999999855
79273	7927301	0.25	0.0	0.0225
79273	7927301	0.5	0.0	0.045
79273	7927301	0.166666667	0.0	0.015000000029999998
79273	7927301	0.416666667	0.0	0.03750000003
79273	7927301	0.333333333	0.0	0.02999999997
79531	7953101	0.25	0.0	0.15428575
79531	7953101	0.5	0.0	0.3085715
79531	7953101	0.166666667	0.0	0.10285716687238099
79531	7953101	0.416666667	0.0	0.257142916872381
79531	7953101	0.333333333	0.0	0.205714333127619
79274	7927401	0.25	0.0	0.03
79274	7927401	0.5	0.0	0.06
79274	7927401	0.166666667	0.0	0.020000000039999997
79274	7927401	0.416666667	0.0	0.05000000004
79274	7927401	0.333333333	0.0	0.03999999996
79279	7927901	0.25	0.0	0.075
79279	7927901	0.5	0.0	0.15
79279	7927901	0.166666667	0.0	0.0500000001
79279	7927901	0.416666667	0.0	0.12500000009999998
79279	7927901	0.333333333	0.0	0.0999999999
79278	7927801	0.25	258.61008536585393	0.106577988263567
79278	7927801	0.5	3.997309451219523	0.213155976527134
79278	7927801	0.166666667	7.994618902439046	0.07105199231781531
79278	7927801	0.416666667	1813.903080792685	0.17762998058138232
79278	7927801	0.333333333	5087.42381402439	0.1421039842093187
75317	7531701	0.25	0.0	0.07
75317	7531701	0.5	0.0	0.14
75317	7531701	0.166666667	0.0	0.04666666676
75317	7531701	0.416666667	0.0	0.11666666676000001
75317	7531701	0.333333333	0.0	0.09333333324000001
75316	7531601	0.25	4594.152000000001	0.06411007888372282
75316	7531601	0.5	1148.5380000000002	0.12822015776744564
75316	7531601	0.166666667	2297.0760000000005	0.042740052674628645
75316	7531601	0.416666667	1148.5380000000002	0.10685013155835146
75316	7531601	0.333333333	2297.0760000000005	0.08548010509281699
79288	7928801	0.25	258.61008536585393	0.015629823356817164
79288	7928801	0.5	3.997309451219523	0.03125964671363433
79288	7928801	0.166666667	7.994618902439046	0.010419882258717874
79288	7928801	0.416666667	1813.903080792685	0.026049705615535036
79288	7928801	0.333333333	5087.42381402439	0.020839764454916455
