Link	LinkState	TotalFlow	Prob
79235	LinkState{link=79235, prob=1.0}	0.0	1.0
79237	LinkState{link=79237, prob=1.0}	0.0	1.0
75397	LinkState{link=75397, prob=1.0}	8602.930886432909	1.0
75399	LinkState{link=75399, prob=1.0}	8602.930886432909	1.0
79497	LinkState{link=79497, prob=1.0}	9636.409903201224	1.0
79499	LinkState{link=79499, prob=1.0}	47.99655487804875	1.0
79498	LinkState{link=79498, prob=1.0}	191.8034451219511	1.0
79245	LinkState{link=79245, prob=1.0}	15630.722855945127	1.0
79500	LinkState{link=79500, prob=1.0}	15.989237804878087	1.0
79246	LinkState{link=79246, prob=1.0}	0.0	1.0
75409	LinkState{link=75409, prob=1.0}	0.0	1.0
90001	LinkState{link=90001, prob=1.0}	239.79999999999993	1.0
75411	LinkState{link=75411, prob=1.0}	7027.791969512177	1.0
90003	LinkState{link=90003, prob=1.0}	0.0	1.0
90002	LinkState{link=90002, prob=1.0}	2636.1851714939003	1.0
79509	LinkState{link=79509, prob=1.0}	0.0	1.0
90005	LinkState{link=90005, prob=1.0}	26462.149999999983	1.0
75412	LinkState{link=75412, prob=1.0}	8602.930886432909	1.0
90004	LinkState{link=90004, prob=1.0}	23825.96482850608	1.0
79511	LinkState{link=79511, prob=1.0}	23825.96482850608	1.0
79510	LinkState{link=79510, prob=1.0}	2636.1851714939003	1.0
79899	LinkState{link=79899, prob=1.0}	7027.791969512177	1.0
79515	LinkState{link=79515, prob=1.0}	7192.0281768292625	1.0
79258	LinkState{link=79258, prob=1.0}	15630.722855945127	1.0
79517	LinkState{link=79517, prob=1.0}	3.997309451219523	1.0
79901	LinkState{link=79901, prob=1.0}	8602.930886432909	1.0
79900	LinkState{link=79900, prob=1.0}	4457.588030487801	1.0
79260	LinkState{link=79260, prob=1.0}	7171.928908536587	1.0
79516	LinkState{link=79516, prob=1.0}	0.0	1.0
79903	LinkState{link=79903, prob=1.0}	6134.0391135670725	1.0
79519	LinkState{link=79519, prob=1.0}	3.997309451219523	1.0
79902	LinkState{link=79902, prob=1.0}	10591.627144054873	1.0
79518	LinkState{link=79518, prob=1.0}	16629.9393422256	1.0
79264	LinkState{link=79264, prob=1.0}	7171.928908536587	1.0
79269	LinkState{link=79269, prob=1.0}	0.0	1.0
79525	LinkState{link=79525, prob=1.0}	23821.967519054848	1.0
79268	LinkState{link=79268, prob=1.0}	0.0	1.0
79273	LinkState{link=79273, prob=1.0}	0.0	1.0
79531	LinkState{link=79531, prob=1.0}	0.0	1.0
79274	LinkState{link=79274, prob=1.0}	0.0	1.0
79279	LinkState{link=79279, prob=1.0}	0.0	1.0
79278	LinkState{link=79278, prob=1.0}	7171.928908536587	1.0
75317	LinkState{link=75317, prob=1.0}	0.0	1.0
75316	LinkState{link=75316, prob=1.0}	11485.380000000003	1.0
79288	LinkState{link=79288, prob=1.0}	7171.928908536587	1.0
79292	LinkState{link=79292, prob=1.0}	6224.706286585377	1.0
79294	LinkState{link=79294, prob=1.0}	16577.945477896334	1.0
79298	LinkState{link=79298, prob=1.0}	6224.706286585377	1.0
79300	LinkState{link=79300, prob=1.0}	947.2226219512182	1.0
79304	LinkState{link=79304, prob=1.0}	7.994618902439046	1.0
75236	LinkState{link=75236, prob=1.0}	0.0	1.0
79207	LinkState{link=79207, prob=1.0}	3419.698235518291	1.0
79209	LinkState{link=79209, prob=1.0}	6216.711667682937	1.0
75240	LinkState{link=75240, prob=1.0}	11485.380000000003	1.0
79210	LinkState{link=79210, prob=1.0}	16585.940096798782	1.0
79477	LinkState{link=79477, prob=1.0}	9828.213348323163	1.0
79479	LinkState{link=79479, prob=1.0}	59.98848323170735	1.0
75385	LinkState{link=75385, prob=1.0}	15630.722855945127	1.0
79225	LinkState{link=79225, prob=1.0}	0.0	1.0
79224	LinkState{link=79224, prob=1.0}	10591.627144054873	1.0
79480	LinkState{link=79480, prob=1.0}	3.997309451219523	1.0
79227	LinkState{link=79227, prob=1.0}	15630.722855945127	1.0
79226	LinkState{link=79226, prob=1.0}	0.0	1.0
79482	LinkState{link=79482, prob=1.0}	16569.9508589939	1.0
75386	LinkState{link=75386, prob=1.0}	14736.970000000005	1.0
79231	LinkState{link=79231, prob=1.0}	0.0	1.0
79487	LinkState{link=79487, prob=1.0}	63.98579268292688	1.0
