Link	LinkState	VOT	VOTFlow	TotalCostForThisVOT
79235	7923501	0.25	2099.53875184275	6.70913090086502E-5
79235	7923501	0.5	524.8846879606875	1.341826180173004E-4
79235	7923501	0.166666667	1049.769375921375	4.472753942855521E-5
79235	7923501	0.416666667	524.8846879606875	1.1181884843720541E-4
79235	7923501	0.333333333	1049.769375921375	8.945507858874519E-5
79237	7923701	0.25	0.0	1.611111111111111E-5
79237	7923701	0.5	0.0	3.222222222222222E-5
79237	7923701	0.166666667	0.0	1.0740740762222223E-5
79237	7923701	0.416666667	0.0	2.6851851873333336E-5
79237	7923701	0.333333333	0.0	2.148148146E-5
75397	7539701	0.25	5894.78800000001	2.2361579396032577E-4
75397	7539701	0.5	1473.6970000000024	4.4723158792065154E-4
75397	7539701	0.166666667	2947.394000000005	1.490771962717049E-4
75397	7539701	0.416666667	1473.6970000000024	3.7269299023203064E-4
75397	7539701	0.333333333	2947.394000000005	2.9815439164894664E-4
75399	7539901	0.25	5894.78800000001	1.5040716859726456E-5
75399	7539901	0.5	1473.6970000000024	3.0081433719452912E-5
75399	7539901	0.166666667	2947.394000000005	1.0027144593205259E-5
75399	7539901	0.416666667	1473.6970000000024	2.5067861452931713E-5
75399	7539901	0.333333333	2947.394000000005	2.005428912624765E-5
79497	7949701	0.25	0.0	0.0641681111111111
79497	7949701	0.5	0.0	0.06418422222222223
79497	7949701	0.166666667	0.0	0.06416274074076223
79497	7949701	0.416666667	0.0	0.06417885185187333
79497	7949701	0.333333333	0.0	0.06417348148146
79499	7949901	0.25	95.92000000000009	2.7380995212761673E-5
79499	7949901	0.5	23.98000000000002	5.4761990425523347E-5
79499	7949901	0.166666667	47.96000000000004	1.8253996845015776E-5
79499	7949901	0.416666667	23.98000000000002	4.563499205777745E-5
79499	7949901	0.333333333	47.96000000000004	3.650799358050757E-5
79498	7949801	0.25	0.0	7.777777777777777E-6
79498	7949801	0.5	0.0	1.5555555555555555E-5
79498	7949801	0.166666667	0.0	5.185185195555556E-6
79498	7949801	0.416666667	0.0	1.2962962973333334E-5
79498	7949801	0.333333333	0.0	1.037037036E-5
79245	7924501	0.25	8389.401248157255	8.13831144118815E-5
79245	7924501	0.5	2097.350312039314	1.62766228823763E-4
79245	7924501	0.166666667	4194.700624078628	5.4255409716431824E-5
79245	7924501	0.416666667	2097.350312039314	1.3563852412831333E-4
79245	7924501	0.333333333	4194.700624078628	1.0851081910733119E-4
79500	7950001	0.25	3195.647567567571	3.287663061340577E-5
79500	7950001	0.5	798.9118918918928	6.575326122681154E-5
79500	7950001	0.166666667	1597.8237837837855	2.191775378610602E-5
79500	7950001	0.416666667	798.9118918918928	5.479438439951179E-5
79500	7950001	0.333333333	1597.8237837837855	4.383550744070552E-5
79246	7924601	0.25	2099.53875184275	4.969726593233348E-6
79246	7924601	0.5	524.8846879606875	9.939453186466695E-6
79246	7924601	0.166666667	1049.769375921375	3.313151068781867E-6
79246	7924601	0.416666667	524.8846879606875	8.282877662015216E-6
79246	7924601	0.333333333	1049.769375921375	6.626302117684828E-6
75409	7540901	0.25	2099.53875184275	6.584887736034186E-5
75409	7540901	0.5	524.8846879606875	1.3169775472068372E-4
75409	7540901	0.166666667	1049.769375921375	4.389925166135974E-5
75409	7540901	0.416666667	524.8846879606875	1.0974812902170161E-4
75409	7540901	0.333333333	1049.769375921375	8.779850305932399E-5
90001	9000101	0.25	95.92000000000009	0.0
90001	9000101	0.5	23.98000000000002	0.0
90001	9000101	0.166666667	47.96000000000004	0.0
90001	9000101	0.416666667	23.98000000000002	0.0
90001	9000101	0.333333333	47.96000000000004	0.0
75411	7541101	0.25	2494.613248157248	3.118931453199558E-5
75411	7541101	0.5	623.653312039312	6.237862906399116E-5
75411	7541101	0.166666667	1247.306624078624	2.0792876396249473E-5
75411	7541101	0.416666667	623.653312039312	5.1982190928245055E-5
75411	7541101	0.333333333	1247.306624078624	4.1585752667741686E-5
90003	9000301	0.25	0.0	0.0
90003	9000301	0.5	0.0	0.0
90003	9000301	0.166666667	0.0	0.0
90003	9000301	0.416666667	0.0	0.0
90003	9000301	0.333333333	0.0	0.0
90002	9000201	0.25	0.0	0.0
90002	9000201	0.5	0.0	0.0
90002	9000201	0.166666667	0.0	0.0
90002	9000201	0.416666667	0.0	0.0
90002	9000201	0.333333333	0.0	0.0
79509	7950901	0.25	0.0	3.4523819444444444E-5
79509	7950901	0.5	0.0	6.904763888888889E-5
79509	7950901	0.166666667	0.0	2.3015879675661387E-5
79509	7950901	0.416666667	0.0	5.7539699120105834E-5
79509	7950901	0.333333333	0.0	4.60317592132275E-5
90005	9000501	0.25	10584.859999999997	0.0
90005	9000501	0.5	2646.2149999999992	0.0
90005	9000501	0.166666667	5292.4299999999985	0.0
90005	9000501	0.416666667	2646.2149999999992	0.0
90005	9000501	0.333333333	5292.4299999999985	0.0
75412	7541201	0.25	5894.78800000001	1.8836599074856434E-5
75412	7541201	0.5	1473.6970000000024	3.767319814971287E-5
75412	7541201	0.166666667	2947.394000000005	1.2557732741686422E-5
75412	7541201	0.416666667	1473.6970000000024	3.1394331816542855E-5
75412	7541201	0.333333333	2947.394000000005	2.5115465408026448E-5
90004	9000401	0.25	10584.859999999997	0.0
90004	9000401	0.5	2646.2149999999992	0.0
90004	9000401	0.166666667	5292.4299999999985	0.0
90004	9000401	0.416666667	2646.2149999999992	0.0
90004	9000401	0.333333333	5292.4299999999985	0.0
79511	7951101	0.25	10584.859999999997	3.3164788869270075E-5
79511	7951101	0.5	2646.2149999999992	6.632957773854015E-5
79511	7951101	0.166666667	5292.4299999999985	2.210985929039977E-5
79511	7951101	0.416666667	2646.2149999999992	5.527464815966984E-5
79511	7951101	0.333333333	5292.4299999999985	4.421971844814038E-5
79510	7951001	0.25	0.0	0.15488788888888888
79510	7951001	0.5	0.0	0.15492677777777777
79510	7951001	0.166666667	0.0	0.15487492592597776
79510	7951001	0.416666667	0.0	0.15491381481486666
79510	7951001	0.333333333	0.0	0.1549008518518
79899	7989901	0.25	2494.613248157248	9.950683485507687E-6
79899	7989901	0.5	623.653312039312	1.9901366971015375E-5
79899	7989901	0.166666667	1247.306624078624	6.633789003606036E-6
79899	7989901	0.416666667	623.653312039312	1.658447248911372E-5
79899	7989901	0.333333333	1247.306624078624	1.3267577967409338E-5
79515	7951501	0.25	0.0	1.4444444444444444E-5
79515	7951501	0.5	0.0	2.8888888888888888E-5
79515	7951501	0.166666667	0.0	9.629629648888887E-6
79515	7951501	0.416666667	0.0	2.4074074093333333E-5
79515	7951501	0.333333333	0.0	1.925925924E-5
79258	7925801	0.25	7917.836796068795	2.248964935687098E-5
79258	7925801	0.5	1979.4591990171987	4.497929871374196E-5
79258	7925801	0.166666667	3958.9183980343973	1.4993099601233518E-5
79258	7925801	0.416666667	1979.4591990171987	3.74827489581045E-5
79258	7925801	0.333333333	3958.9183980343973	2.998619911250844E-5
79517	7951701	0.25	1786.38918918919	2.586378187305167E-5
79517	7951701	0.5	446.5972972972975	5.172756374610334E-5
79517	7951701	0.166666667	893.194594594595	1.7242521283186154E-5
79517	7951701	0.416666667	446.5972972972975	4.310630315623783E-5
79517	7951701	0.333333333	893.194594594595	3.448504246291719E-5
79901	7990101	0.25	5894.78800000001	8.86598522626865E-6
79901	7990101	0.5	1473.6970000000024	1.77319704525373E-5
79901	7990101	0.166666667	2947.394000000005	5.910656829333747E-6
79901	7990101	0.416666667	1473.6970000000024	1.4776642055602397E-5
79901	7990101	0.333333333	2947.394000000005	1.1821313623203553E-5
79900	7990001	0.25	0.0	1.611111111111111E-5
79900	7990001	0.5	0.0	3.222222222222222E-5
79900	7990001	0.166666667	0.0	1.0740740762222223E-5
79900	7990001	0.416666667	0.0	2.6851851873333336E-5
79900	7990001	0.333333333	0.0	2.148148146E-5
79260	7926001	0.25	2571.103203931204	5.349431198697286E-6
