Iter. #	RelGap	SPTT	TSTT	SORobjective	Runtime
1	2.7473313233491755E303	65434.15858087371	1.7976931348623157E308	0.0	0.016 s
2	50.03187829899904	90398.57521981529	4613209.089020524	366765.0672472077	0.016 s
3	0.6972005434366892	103104.73408640367	174989.41072233964	89954.13329589457	0.000 s
4	0.5021723131797458	104117.99924256073	156403.17576584447	86730.46738956904	0.015 s
5	0.4315148342651738	102545.53294498846	146795.45159837906	87716.82576050136	0.000 s
6	0.22184897034481388	110853.19843418925	135445.86636624348	85453.43515690316	0.016 s
7	0.164856390531662	109869.35800380779	127982.0237943465	84488.08078617915	0.000 s
8	0.1242213406971977	107973.83850966586	121386.49348955927	83816.62038195359	0.000 s
9	0.16023406088092274	108957.94965088322	126416.72438870337	83677.36297980761	0.015 s
10	0.06467367316873118	112595.99850866618	119877.99531632259	82982.16400580975	0.000 s
11	0.07220181237352086	111367.18721243663	119408.09996811576	82727.3466712666	0.000 s
12	0.07599062767638776	108862.1002438993	117134.59957160304	82548.94537364415	0.016 s
13	0.06648484031332558	109529.6273225193	116811.68710463506	82416.34020498452	0.000 s
14	0.05531020496257111	109042.22893754113	115073.37696965215	82245.87685256981	0.016 s
15	0.055329323648298345	109797.07012978848	115872.06775863445	82108.88196532168	0.015 s
16	0.04735489122937908	109336.19883184702	114513.8026349629	81994.86590148808	0.016 s
17	0.04714244483146812	110071.15049496187	115260.17363470684	81890.46363576817	0.000 s
18	0.041207662736609585	109616.36056658001	114133.39458322224	81805.49176663486	0.015 s
19	0.041477098940314594	110247.4767961452	114820.22229913896	81723.58918536955	0.000 s
20	0.036022830038685116	109735.26343464947	113688.23817860619	81662.07780570384	0.094 s
21	0.03828658433567633	110470.60604731285	114700.14822235657	81600.9097151098	0.000 s
22	0.031213984063579225	110213.72240824264	113653.93178308127	81547.41009529558	0.000 s
23	0.035169351751963784	110398.81828677942	114281.4731601083	81497.30506925206	0.016 s
24	0.02768072966538293	110285.90751945044	113338.70191139776	81452.35757899345	0.000 s
25	0.03260039030657569	110342.2092581341	113939.40834723912	81411.80366814857	0.000 s
26	0.024859262402615157	110346.35153482223	113089.48044279759	81373.10781327201	0.015 s
27	0.03093786722152836	110510.61194728699	113929.574586282	81342.09632658784	0.000 s
28	0.022643559343853648	110615.01699322619	113119.73469483368	81306.76233664642	0.000 s
29	0.02060264742694895	111077.7177481726	113366.21280392836	81242.71824992147	0.000 s
30	0.017512716259613148	110831.5778931294	112772.539869377	81189.05736691074	0.000 s
31	0.016405044409764313	111094.15933135156	112916.66394884781	81144.60575238905	0.000 s
32	0.01658508260250957	110598.70385108293	112432.99249018363	81103.73197554496	0.000 s
33	0.01728347997457025	110882.67312165446	112799.1115820794	81054.35195473956	0.015 s
34	0.01304401374236197	110869.31701282917	112315.4979075508	81014.32161538914	0.000 s
35	0.01835060416001455	110671.10655220563	112701.98822049596	80976.43751173055	0.016 s
36	0.018695227149427618	110129.79264515615	112188.69413457671	80963.06620026863	0.000 s
37	0.01489927286419479	110885.66610265852	112537.78189865002	80923.4515135462	0.000 s
38	0.012984684988732953	110675.24810450595	112112.33133719284	80891.7904013357	0.000 s
39	0.015633548817804988	110705.97348837327	112436.70072932639	80858.71128693274	0.000 s
40	0.01168327958944726	110719.80567757729	112013.3761233977	80827.51297825694	0.015 s
41	0.014186504669540412	110481.86899615305	112049.22054656653	80804.25256129884	0.000 s
42	0.012922829745455777	110733.35935295663	112164.34770301725	80771.68772634635	0.000 s
43	0.011623055947081795	110517.79438739116	111802.34889470389	80747.21485533337	0.016 s
44	0.013649012781617786	110578.56883959859	112087.85713906329	80721.22434775028	0.015 s
45	0.010564525152276127	110558.25972719844	111726.25524287831	80696.91231512364	0.000 s
46	0.010410888276924934	110706.32431210767	111858.87548607003	80666.37474533192	0.016 s
47	0.012511722879382292	110178.72341727832	111557.24907187941	80647.19680543533	0.000 s
48	0.011265016891985669	110549.51679136387	111794.85896541945	80622.77887252704	0.000 s
49	0.010347146657261996	110351.43546409172	111493.25795067806	80604.29920365092	0.000 s
50	0.011978652693299452	110427.92462958038	111750.70238635998	80584.52786623815	0.016 s
51	0.009370718622110585	110424.9904541506	111459.7519685457	80566.28409206681	0.000 s
52	0.011302107801227201	110253.5206837017	111499.61785993374	80551.79829555575	0.000 s
53	0.010066854978838968	110450.82277266843	111562.71518781432	80530.29251878035	0.015 s
54	0.009387026679404498	110275.75645381567	111310.91792173915	80515.01795785701	0.000 s
55	0.010877840512280024	110345.46986567082	111545.7902881222	80498.68601771152	0.000 s
56	0.009086708542586308	110284.45502877489	111286.57772839932	80483.61153994649	0.000 s
57	0.00844495519603572	110467.14029878966	111400.03034924713	80462.02142345872	0.016 s
58	0.010192022105627752	110056.57018006567	111178.26917621048	80449.85817806219	0.000 s
59	0.009217289122022132	110364.2297214244	111381.48873549604	80434.06270707275	0.000 s
60	0.008377810737705715	110223.47662867674	111146.90805472372	80421.0796158506	0.000 s
61	0.00994923180034335	110262.33569964996	111359.36123637305	80408.13222152757	0.000 s
62	0.008120235954059751	110223.72288798617	111118.7655255715	80395.31470370159	0.015 s
63	0.0077779884302537905	110366.7805046477	111225.21204649721	80377.25684815556	0.000 s
64	0.00923145710146489	110000.88195512258	111016.35037801458	80366.77866356436	0.000 s
65	0.008448867042055053	110270.84554368777	111202.50925630137	80353.96483348656	0.000 s
66	0.007732569905328557	110136.34419303603	110987.98117362602	80343.61395165542	0.000 s
67	0.009045244923265416	110183.93616374295	111180.57685295344	80332.92865118959	0.016 s
